epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.537,1.17076,1.53772,1.02548,0.73202,0.6499,0.70871,0.54757,0.93749,0.82211,0.93337,0.00332935,0.00332935,0.00332935
2,372.909,1.0591,0.89634,0.96962,0.85319,0.74788,0.83926,0.6464,0.90552,0.71203,0.9241,0.00653076,0.00653076,0.00653076
3,554.587,1.05675,0.83022,0.97195,0.84235,0.76598,0.84794,0.65938,0.90731,0.69004,0.93547,0.00960018,0.00960018,0.00960018
4,734.501,1.03493,0.7756,0.97114,0.83488,0.79799,0.85894,0.66224,0.92808,0.6504,0.93989,0.009406,0.009406,0.009406
5,921.212,0.99177,0.70413,0.96058,0.8724,0.80768,0.88631,0.70742,0.86147,0.58469,0.92466,0.009208,0.009208,0.009208
6,1125.66,0.95573,0.66319,0.94997,0.89493,0.83729,0.90837,0.7303,0.82487,0.54402,0.91628,0.00901,0.00901,0.00901
7,1330.96,0.92998,0.63051,0.94035,0.90077,0.84381,0.91968,0.74793,0.80606,0.51783,0.90956,0.008812,0.008812,0.008812
8,1539.44,0.90721,0.60569,0.9356,0.89331,0.84909,0.92269,0.74915,0.80609,0.50922,0.90868,0.008614,0.008614,0.008614
9,1748.13,0.88847,0.58705,0.92952,0.90033,0.86452,0.93036,0.76018,0.78345,0.49804,0.90241,0.008416,0.008416,0.008416
10,1956.78,0.87831,0.57427,0.92604,0.90776,0.86806,0.93918,0.76612,0.78168,0.47986,0.90136,0.008218,0.008218,0.008218
11,2167.66,0.86748,0.5622,0.92335,0.92108,0.88336,0.94862,0.78116,0.75773,0.46116,0.89411,0.00802,0.00802,0.00802
12,2378.47,0.85668,0.54955,0.92044,0.91435,0.86993,0.93709,0.77436,0.76187,0.46216,0.89299,0.007822,0.007822,0.007822
13,2589.6,0.84635,0.5417,0.91835,0.91712,0.88866,0.95024,0.78837,0.74563,0.44784,0.89165,0.007624,0.007624,0.007624
14,2804.34,0.83766,0.53303,0.91472,0.92835,0.88688,0.95144,0.79082,0.74335,0.43847,0.8886,0.007426,0.007426,0.007426
15,3018.63,0.83033,0.52165,0.91308,0.91788,0.88895,0.94312,0.78481,0.73968,0.44093,0.88889,0.007228,0.007228,0.007228
16,3233.07,0.82232,0.51483,0.90996,0.92847,0.90148,0.958,0.79919,0.73173,0.42079,0.88564,0.00703,0.00703,0.00703
17,3446.63,0.8139,0.50778,0.90773,0.91287,0.90646,0.95708,0.80037,0.73009,0.42265,0.88527,0.006832,0.006832,0.006832
18,3661.44,0.80915,0.49959,0.90738,0.93011,0.9025,0.95833,0.80554,0.72244,0.41548,0.88332,0.006634,0.006634,0.006634
19,3877.06,0.80377,0.49388,0.90491,0.92819,0.8954,0.95433,0.80863,0.72077,0.42563,0.88181,0.006436,0.006436,0.006436
20,4092.33,0.79881,0.48954,0.90376,0.92913,0.91654,0.96337,0.81565,0.7099,0.40179,0.87967,0.006238,0.006238,0.006238
21,4308.45,0.79482,0.48426,0.90165,0.93338,0.91424,0.96364,0.8177,0.7047,0.39973,0.87515,0.00604,0.00604,0.00604
22,4525.39,0.79006,0.48019,0.9002,0.94133,0.90763,0.96595,0.82017,0.70445,0.39589,0.87688,0.005842,0.005842,0.005842
23,4741.96,0.78567,0.47668,0.90036,0.93761,0.91128,0.96534,0.82161,0.70433,0.39467,0.87731,0.005644,0.005644,0.005644
24,4957.3,0.78146,0.47238,0.89842,0.92357,0.9307,0.96548,0.82491,0.69703,0.38778,0.87449,0.005446,0.005446,0.005446
